#{"t_start": 1591703714.7763894, "env_id": "gvgai-golddigger-lvl0-v0"}
r,l,t
7.0,44,90830.910291
83.0,695,90926.617878
36.0,76,90936.929642
103.0,1032,91076.582381
40.0,52,91083.681783
0.0,43,91089.681187
108.0,520,91160.578477
91.0,1088,91335.117748
0.0,29,91339.233539
67.0,1064,91506.483306
117.0,375,91556.954638
114.0,223,91586.509588
105.0,124,91603.133466
132.0,2000,91867.292362
0.0,47,91873.421601
52.0,2000,92147.60055
80.0,1892,92432.875645
111.0,569,92518.817468
0.0,28,92523.405782
141.0,2000,92815.112261
151.0,2000,93101.113363
139.0,2000,93379.564391
143.0,2000,93647.120798
90.0,2000,93917.177377
135.0,1380,94110.513616
141.0,492,94179.985384
83.0,2000,94461.778065
0.0,28,94465.869691
19.0,40,94471.525585
141.0,588,94550.869417
73.0,377,94601.122459
0.0,20,94603.881961
135.0,504,94671.221422
146.0,2000,94938.108366
0.0,26,94941.557025
74.0,492,95007.340573
148.0,1320,95185.169986
126.0,2000,95452.769301
0.0,23,95455.952942
0.0,39,95461.33596
122.0,2000,95729.696471
136.0,1204,95898.461815
156.0,2000,96179.446344
145.0,2000,96474.9326
129.0,352,96527.15909
135.0,153,96550.597231
115.0,242,96588.523104
132.0,1062,96750.883215
3.0,83,96762.254041
-5.0,309,96810.669291
132.0,1124,96968.409805
100.0,164,96990.490181
105.0,139,97009.324909
0.0,39,97014.850039
136.0,1632,97234.545667
84.0,829,97346.691373
133.0,508,97414.361879
135.0,1658,97638.7623
135.0,1708,97872.405692
0.0,29,97876.725589
129.0,2000,98151.216919
1.0,148,98173.322281
0.0,50,98180.157427
0.0,72,98190.297923
114.0,436,98251.533996
80.0,176,98278.013406
100.0,720,98379.648965
144.0,2000,98660.351639
146.0,2000,98930.764411
146.0,1921,99189.513861
106.0,1412,99381.797382
-5.0,101,99395.922392
138.0,1526,99604.879982
124.0,1802,99850.806033
-5.0,272,99888.302874
-5.0,699,99986.398157
0.0,35,99991.481636
67.0,172,100015.955754
-5.0,17,100018.381668
108.0,232,100051.181452
137.0,2000,100330.288379
23.0,48,100337.021541
37.0,48,100343.795884
-5.0,21,100347.177875
-4.0,31,100351.273644
